time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2021-2026,FALSE,FALSE,pearson,threshold,0.5,12,44,0.666666667,1,12,2,0.061725207,0.034848485,0.666666667,0.421578747,0.273796004,66,44,9102839
2021-2026,FALSE,FALSE,pearson,threshold,0.7,12,11,0.166666667,6,5,2,0.396694215,0.003030303,0.166666667,0.90829461,0.439163439,66,11,9102839
2021-2026,FALSE,FALSE,pearson,knn,3,12,26,0.393939394,1,12,3,0.299556213,0.072727273,0.393939394,0.555278518,0.270975263,66,26,9102839
2021-2026,FALSE,FALSE,pearson,knn,4,12,33,0.5,1,12,3,0.204775023,0.05,0.5,0.448062121,0.276888536,66,33,9102839
2017-2026,TRUE,TRUE,cosine,threshold,0.5,13,65,0.833333333,1,13,2,0.015502959,0.015151515,0.833333333,0.338426781,0.269973364,78,65,21963692
2017-2026,TRUE,TRUE,cosine,threshold,0.7,13,25,0.320512821,2,12,3,0.2288,0.072261072,0.320512821,0.605767012,0.243596108,78,25,21963692
2017-2026,TRUE,TRUE,cosine,knn,3,13,27,0.346153846,1,13,3,0.336762689,0.087412587,0.346153846,0.539331723,0.242069111,78,27,21963692
2017-2026,TRUE,TRUE,cosine,knn,4,13,36,0.461538462,1,13,3,0.234567901,0.054778555,0.461538462,0.410944417,0.255945434,78,36,21963692
2017-2026,TRUE,TRUE,spearman,threshold,0.5,13,56,0.717948718,1,13,2,0.06122449,0.025641026,0.717948718,0.364270229,0.267238427,78,56,21963692
2017-2026,TRUE,TRUE,spearman,threshold,0.7,13,23,0.294871795,2,12,2,0.325141777,0.08041958,0.294871795,0.573119322,0.248020205,78,23,21963692
2017-2026,TRUE,TRUE,spearman,knn,3,13,26,0.333333333,1,13,3,0.314349112,0.086247086,0.333333333,0.54927253,0.267087935,78,26,21963692
2017-2026,TRUE,TRUE,spearman,knn,4,13,33,0.423076923,1,13,2,0.280532599,0.064102564,0.423076923,0.42989111,0.26994002,78,33,21963692
2017-2026,TRUE,TRUE,pearson,threshold,0.5,13,56,0.717948718,1,13,2,0.055484694,0.025641026,0.717948718,0.361686753,0.266910403,78,56,21963692
2017-2026,TRUE,TRUE,pearson,threshold,0.7,13,14,0.179487179,4,10,2,0.364795918,0.076923077,0.179487179,0.736312339,0.24932013,78,14,21963692
2017-2026,TRUE,TRUE,pearson,knn,3,13,29,0.371794872,1,13,3,0.25980975,0.072261072,0.371794872,0.491261165,0.251407749,78,29,21963692
2017-2026,TRUE,TRUE,pearson,knn,4,13,37,0.474358974,1,13,2,0.220598977,0.048951049,0.474358974,0.421146839,0.264931848,78,37,21963692
2017-2026,TRUE,FALSE,cosine,threshold,0.5,12,54,0.818181818,1,12,2,0.017832647,0.018181818,0.818181818,0.365085384,0.28138308,66,54,19232627
2017-2026,TRUE,FALSE,cosine,threshold,0.7,12,19,0.287878788,2,11,3,0.263157895,0.083333333,0.287878788,0.644236948,0.258789275,66,19,19232627
2017-2026,TRUE,FALSE,cosine,knn,3,12,24,0.363636364,1,12,3,0.356770833,0.087878788,0.363636364,0.580796875,0.258491694,66,24,19232627
2017-2026,TRUE,FALSE,cosine,knn,4,12,33,0.5,1,12,3,0.188705234,0.051515152,0.5,0.420437999,0.272174607,66,33,19232627
2017-2026,TRUE,FALSE,spearman,threshold,0.5,12,45,0.681818182,1,12,2,0.076790123,0.031818182,0.681818182,0.400020693,0.277713439,66,45,19232627
2017-2026,TRUE,FALSE,spearman,threshold,0.7,12,18,0.272727273,2,11,3,0.37808642,0.095454545,0.272727273,0.643719058,0.262301119,66,18,19232627
2017-2026,TRUE,FALSE,spearman,knn,3,12,23,0.348484848,1,12,2,0.336483932,0.098484848,0.348484848,0.583267081,0.281102993,66,23,19232627
2017-2026,TRUE,FALSE,spearman,knn,4,12,31,0.46969697,1,12,2,0.240894901,0.059090909,0.46969697,0.465577361,0.280402985,66,31,19232627
2017-2026,TRUE,FALSE,pearson,threshold,0.5,12,45,0.681818182,1,12,2,0.07382716,0.031818182,0.681818182,0.406706686,0.276572592,66,45,19232627
2017-2026,TRUE,FALSE,pearson,threshold,0.7,12,10,0.151515152,5,5,2,0.48,0.009090909,0.151515152,0.865829346,0.425623932,66,10,19232627
2017-2026,TRUE,FALSE,pearson,knn,3,12,26,0.393939394,1,12,3,0.261094675,0.074242424,0.393939394,0.525355032,0.273137225,66,26,19232627
2017-2026,TRUE,FALSE,pearson,knn,4,12,32,0.484848485,1,12,3,0.1953125,0.051515152,0.484848485,0.450387409,0.279055096,66,32,19232627
2017-2026,FALSE,TRUE,cosine,threshold,0.5,13,65,0.833333333,1,13,2,0.015502959,0.015151515,0.833333333,0.339237859,0.269825609,78,65,17108534
2017-2026,FALSE,TRUE,cosine,threshold,0.7,13,22,0.282051282,3,11,3,0.244834711,0.06993007,0.282051282,0.662975759,0.247967573,78,22,17108534
2017-2026,FALSE,TRUE,cosine,knn,3,13,28,0.358974359,1,13,3,0.339285714,0.079254079,0.358974359,0.551014257,0.244470136,78,28,17108534
2017-2026,FALSE,TRUE,cosine,knn,4,13,36,0.461538462,1,13,3,0.234567901,0.054778555,0.461538462,0.411961143,0.256021335,78,36,17108534
2017-2026,FALSE,TRUE,spearman,threshold,0.5,13,56,0.717948718,1,13,2,0.06122449,0.025641026,0.717948718,0.364401207,0.267224067,78,56,17108534
2017-2026,FALSE,TRUE,spearman,threshold,0.7,13,19,0.243589744,3,11,3,0.342105263,0.087412587,0.243589744,0.602794655,0.251892419,78,19,17108534
2017-2026,FALSE,TRUE,spearman,knn,3,13,26,0.333333333,1,13,3,0.314349112,0.086247086,0.333333333,0.548525296,0.266850173,78,26,17108534
